"","text","yearweek"
"126","multiple covid19 vaccine appointments  available   next  days  anyone 70  older just across  river  louisville       indiana residentis  statewide site  sign ",202104
"127","didyouknow vaccination   safe way  help prevent covid19    impoant tool  help stop  pandemic vaccines  tested  evaluated  clinical trials  safety   top priority learn ",202104
"128","major breaking news breaking covid19 weather coronavirus coronavirusuk covidvaccine vaccination biden capitolriots capitolsiege snow chicago stimulus donaldtrump trump pfizer breakingnews whitehouse stormcnntownhall biden chinavirus covid19ab",202104
"129","major breaking news breaking covid19 weather coronavirus coronavirusuk covidvaccine vaccination biden capitolriots capitolsiege snow chicago stimulus donaldtrump trump pfizer breakingnews whitehouse storm",202104
"130","covid19 vaccination progress repo  far  good cdc says

",202104
"131","biden calls  100m vaccines  first 100 days   presidency

",202102
"132","just got dosed 2nd dose coming   3 weeks coronavirus vaccine vaccination covid19 wearamask",202104
"133"," risk  schools   student  teacher transmission   coronavirus  transmission among adults  work  schools    vaccination  critical",202104
"134","vaccination round 1very well organized thanks    volunteersvaccine vaccination statefarmstadium azdhs covid19 coronavirus",202104
"135","today  told    school district  ga  vaccinated 40   employees despite educators  falling within current phase 1a  vaccine administration update medical center  elbeon   suspended  vaccination program  6 mo",202104
"136","texas threatened  withhold vaccines  dallas county   proposed plan  target specific communities  paicular need ie black  brown  prioritized vaccination

 surprise  dispropoionately vaccinating whites 

",202104
"137","four new mass vaccination clinics  open  week across washington",202104
"138"," douglas county health depament dchd   community paners  host four community clinics beginning  february   unprecedented effo  provide douglas county residents 80 years  age  older   covid19 vaccine 

",202104
"139","tell  real truth      vaccine  big pharma  making money     vaccines  aboutvia",202104
"140","los angeles county residents   65 years old  older can now register  covid19 vaccination appointments 

residents  internet access   computer  urged  useto sign    vaccination appointment",202104
"141","nowwants    transparent  vaccination informationwill change  dashboard  include  breakdown  vaccine doses   local health district level link",202104
"142","ohio covid19 vaccination programvia",202104
"143"," white house covid response team  delivering  briefingthe first  regular briefings  coronavirus vaccine response joebiden announced plans  speedup vaccination provision yesterday",202104
"144"," asked   chose  receive  vaccine ltc kim responded   can   pa   effo  beat covid
covid19 covidvaccine coronavirus vaccination covidvaccination covid19",202104
