"","location","avg.daily_vaccinations","avg.tweet_sentiment","avg.approve_estimate","avg.disapprove_estimate","avg.new_cases","avg.new_hospital_cases","avg.people_vaccinated","avg.high_school_percentage","avg.bachelor_degree_percentage","avg.age_median","avg.daily_vaccinations_n","avg.new_cases_n","avg.new_hospital_cases_n","avg.people_vaccinated_n","numValid"
"28","Nevada",13642.2412280702,0.335789473684211,52.2680408403509,41.223863404386,70714.4868421053,6130.65035087719,1109276.3245614,86.9,25.7,38.3,0.00442907477026169,0.0229580861625532,0.00199037008218973,0.360136410156305,228
"29","New Hampshire",6815.65945945946,0.30227027027027,52.008983332973,41.3386297902703,76408.5027027027,6435.61313513514,583756.637837838,93.3,37.6,43.1,0.00501257948156591,0.0561946639416043,0.00473307425999726,0.429324053300913,185
"30","New Jersey",49504.3398058252,0.368495145631068,52.3137006485437,41.0864349378641,75795.3640776699,6512.7690776699,3859335.11650485,90.3,41.2,40.1,0.00557343851075301,0.00853340944943419,0.000733239108561053,0.434502652668413,206
"31","New Mexico",11451.6767676768,0.30469696969697,52.0864444828283,41.3259010717172,77880.0303030303,6563.23585858586,931704.136363636,85.9,27.7,38.4,0.00546142616669112,0.037141812853137,0.00313007682485594,0.444339589143243,198
"32","North Carolina",44373.814159292,0.336548672566372,52.2543126088496,41.2401350141593,71072.8053097345,6146.87862831858,3685409.2920354,88.6,32.3,39.1,0.00423087898221372,0.00677652899325887,0.000586082131714294,0.351390138755124,226
"33","North Dakota",2874.83035714286,0.340267857142857,52.2614970517857,41.2204642017857,71251.9553571429,6165.61160714286,261559.90625,93.5,30.4,35.3,0.0037724363072071,0.0934988955716764,0.00809069551708766,0.343226543575195,224
"34","Ohio",49141.8333333333,0.335789473684211,52.2680408403509,41.223863404386,70714.4868421053,6130.65035087719,4120204.06140351,90.8,29.3,39.5,0.00420407331046302,0.00604960919507107,0.000524475823705606,0.352482574484221,228
"35","Oklahoma",16014.5877192982,0.335789473684211,52.2680408403509,41.223863404386,70714.4868421053,6130.65035087719,1369565.87280702,88.4,26.2,36.9,0.00404718349447045,0.0178708630520934,0.00154932910826923,0.346114710673143,228
"36","Oregon",21072.7850877193,0.335789473684211,52.2680408403509,41.223863404386,70714.4868421053,6130.65035087719,1718932.25,91.4,34.5,39.6,0.00499623022671146,0.0167659782585081,0.00145354021620532,0.40754846734161,228
"37","Pennsylvania",65559.8070175439,0.335789473684211,52.2680408403509,41.223863404386,70714.4868421053,6130.65035087719,5614481.77631579,91,32.3,40.8,0.00512106415788546,0.00552371095164238,0.000478882644788805,0.438563240158681,228
"38","Rhode Island",5900.49561403509,0.335789473684211,52.2680408403509,41.223863404386,70714.4868421053,6130.65035087719,483336.592105263,89.3,34.8,40.1,0.00556986297780935,0.0667520201726373,0.00578712105776708,0.456252960138483,228
"39","South Carolina",20623.6184210526,0.335789473684211,52.2680408403509,41.223863404386,70714.4868421053,6130.65035087719,1685118.98684211,88.3,29.6,39.9,0.00400558633108241,0.0137343979180248,0.00119071487576843,0.327289297257938,228
"40","South Dakota",3727.11894273128,0.337356828193833,52.2639965444934,41.2263686484581,70988.8942731277,6148.55568281938,343306.45814978,92.1,29.7,37.4,0.00421305716974707,0.0802443588694941,0.00695019853165952,0.388066428024561,227
"41","Tennessee",26299.5418502203,0.334977973568282,52.2584173814978,41.2375580889868,70796.8193832599,6128.9018061674,2124489.34361233,88,28.7,39,0.00385105751445493,0.0103668202601457,0.000897458727243939,0.311090234867692,227
"42","Texas",127271.733333333,0.330933333333333,52.237636456,41.260743672,70753.8088888889,6134.54217777778,10147851.0222222,84.6,30.8,35,0.00438930389227813,0.00244013309645218,0.00021156598683026,0.349975605922173,225
"43","Utah",13803.6651785714,0.334508928571429,52.2892786767857,41.2027933535714,70142.8883928571,6060.22196428571,1120997.32142857,93,34.8,31.3,0.00430562882563384,0.0218789168145238,0.00189029986178413,0.349660638545038,224
"44","Vermont",4443.74301675978,0.41145251396648,52.5528401206704,40.7433138949721,67621.9329608939,6102.15888268156,275455.709497207,93.1,38.7,43,0.00712150857909318,0.108370392684637,0.0097792731645615,0.441443213738073,179
"45","Virginia",43861.3584070796,0.332920353982301,52.3447749318584,41.1335163415929,69447.1946902655,6060.69402654867,3586758.77876106,90,39.6,38.6,0.00513868675203929,0.00813625916482237,0.000710055712669455,0.420215663366347,226
"46","Washington",41682.0837209302,0.374232558139535,52.5597577888372,40.8775705172093,65509.2790697674,5801.52023255814,3123807.22790698,91.7,37,37.8,0.00547375829455913,0.00860278392221236,0.000761864970730139,0.41022339091396,215
"47","West Virginia",6069.90222222222,0.336666666666667,52.3031020871111,41.1866094764444,70073.1377777778,6084.18662222222,603386.915555556,87.1,21.1,42.9,0.00338694438694048,0.0391001060614881,0.00339491493846332,0.336683829817284,225
"48","Wisconsin",27479.4385964912,0.335789473684211,52.2680408403509,41.223863404386,70714.4868421053,6130.65035087719,2285884.55263158,92.8,31.3,39.8,0.00471957923378629,0.0121451761998685,0.00105293599736419,0.392599478608358,228
"49","Wyoming",2027.8,0.341066666666667,52.271235136,41.2066628942222,71166.5022222222,6167.22031111111,175936.875555556,94.5,29.1,38.4,0.00350370361411226,0.122963966387084,0.0106559385013643,0.303989874119548,225
